# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.22360000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.00042         	1.29272673e-01	5.23427674e-02	7.69299059e-02	2.45871385e-01	6.85748874e-02	1.77296497e-01	-5.43608050e-02	-1.22935692e-02	6.46363367e-03	5.76602527e-22	6.46363367e-03	-6.46363367e-03
0.00044         	1.26659788e-01	5.11060599e-02	7.55537283e-02	2.44476684e-01	6.83223735e-02	1.76154311e-01	-5.39159687e-02	-1.22238342e-02	6.33298941e-03	4.93716799e-22	6.33298941e-03	-6.33298941e-03
0.00046         	1.24172495e-01	4.99341250e-02	7.42383699e-02	2.43042449e-01	6.80799280e-02	1.74962521e-01	-5.34412964e-02	-1.21521224e-02	6.20862474e-03	4.11068055e-22	6.20862474e-03	-6.20862474e-03
0.00048         	1.21829124e-01	4.88341283e-02	7.29949960e-02	2.41608678e-01	6.78708961e-02	1.73737782e-01	-5.29334428e-02	-1.20804339e-02	6.09145621e-03	3.31144332e-22	6.09145621e-03	-6.09145621e-03
0.0005          	1.19632384e-01	4.78057548e-02	7.18266291e-02	2.40208742e-01	6.77110207e-02	1.72497722e-01	-5.23933505e-02	-1.20104371e-02	5.98161920e-03	2.52863362e-22	5.98161920e-03	-5.98161920e-03
0.00052         	1.17573638e-01	4.68442914e-02	7.07293465e-02	2.38850551e-01	6.76043651e-02	1.71246186e-01	-5.18209103e-02	-1.19425275e-02	5.87868189e-03	1.82693185e-22	5.87868189e-03	-5.87868189e-03
0.00054         	1.15639386e-01	4.59428947e-02	6.96964912e-02	2.37535965e-01	6.75434787e-02	1.69992486e-01	-5.12245037e-02	-1.18767982e-02	5.78196929e-03	1.12380873e-22	5.78196929e-03	-5.78196929e-03
0.00056         	1.13819063e-01	4.50967569e-02	6.87223059e-02	2.36255490e-01	6.75136100e-02	1.68741880e-01	-5.06141352e-02	-1.18127745e-02	5.69095314e-03	4.94957035e-23	5.69095314e-03	-5.69095314e-03
0.00058         	1.12100906e-01	4.43003313e-02	6.78005745e-02	2.35002432e-01	6.74971588e-02	1.67505273e-01	-5.00040572e-02	-1.17501216e-02	5.60504529e-03	-9.04051858e-24	5.60504529e-03	-5.60504529e-03
0.0006          	1.10471050e-01	4.35476496e-02	6.69234002e-02	2.33757507e-01	6.74801239e-02	1.66277383e-01	-4.93986295e-02	-1.16878753e-02	5.52355249e-03	-6.32883604e-23	5.52355249e-03	-5.52355249e-03
0.00062         	1.08911643e-01	4.28305999e-02	6.60810431e-02	2.32504432e-01	6.74526416e-02	1.65051791e-01	-4.87995745e-02	-1.16252216e-02	5.44558215e-03	-1.14242841e-22	5.44558215e-03	-5.44558215e-03
0.00064         	1.07404028e-01	4.21402055e-02	6.52638229e-02	2.31236174e-01	6.74125477e-02	1.63823626e-01	-4.82055393e-02	-1.15618087e-02	5.37020142e-03	-1.61028394e-22	5.37020142e-03	-5.37020142e-03
0.00066         	1.05941775e-01	4.14734648e-02	6.44683100e-02	2.29948452e-01	6.73585389e-02	1.62589913e-01	-4.76156871e-02	-1.14974226e-02	5.29708874e-03	-2.08096470e-22	5.29708874e-03	-5.29708874e-03
0.00068         	1.04514478e-01	4.08250103e-02	6.36894680e-02	2.28644577e-01	6.72990053e-02	1.61345571e-01	-4.70232831e-02	-1.14322288e-02	5.22572391e-03	-2.52948657e-22	5.22572391e-03	-5.22572391e-03
0.0007          	1.03123800e-01	4.01949419e-02	6.29288576e-02	2.27339156e-01	6.72425611e-02	1.60096595e-01	-4.64270171e-02	-1.13669578e-02	5.15618998e-03	-2.95857549e-22	5.15618998e-03	-5.15618998e-03
0.00072         	1.01772445e-01	3.95836450e-02	6.21888000e-02	2.26051550e-01	6.72003964e-02	1.58851153e-01	-4.58253785e-02	-1.13025775e-02	5.08862225e-03	-3.37496828e-22	5.08862225e-03	-5.08862225e-03
0.00074         	1.00465537e-01	3.89932058e-02	6.14723316e-02	2.24791258e-01	6.71790370e-02	1.57612221e-01	-4.52165921e-02	-1.12395629e-02	5.02327687e-03	-3.80618190e-22	5.02327687e-03	-5.02327687e-03
0.00076         	9.92013670e-02	3.84218306e-02	6.07795364e-02	2.23577058e-01	6.71906976e-02	1.56386361e-01	-4.45978315e-02	-1.11788529e-02	4.96006835e-03	-4.25219570e-22	4.96006835e-03	-4.96006835e-03
0.00078         	9.79809602e-02	3.78689245e-02	6.01120357e-02	2.22431112e-01	6.72445214e-02	1.55186591e-01	-4.39710346e-02	-1.11215556e-02	4.89904801e-03	-4.70885887e-22	4.89904801e-03	-4.89904801e-03
0.0008          	9.68059621e-02	3.73352409e-02	5.94707212e-02	2.21354803e-01	6.73412748e-02	1.54013528e-01	-4.33361267e-02	-1.10677401e-02	4.84029811e-03	-5.20565957e-22	4.84029811e-03	-4.84029811e-03
0.00082         	9.56754797e-02	3.68203273e-02	5.88551524e-02	2.20348251e-01	6.74799365e-02	1.52868315e-01	-4.26941890e-02	-1.10174126e-02	4.78377399e-03	-5.74045259e-22	4.78377399e-03	-4.78377399e-03
0.00084         	9.45920208e-02	3.63254262e-02	5.82665947e-02	2.19411685e-01	6.76546882e-02	1.51756997e-01	-4.20511542e-02	-1.09705842e-02	4.72960104e-03	-6.27561979e-22	4.72960104e-03	-4.72960104e-03
0.00086         	9.35556216e-02	3.58512400e-02	5.77043816e-02	2.18531416e-01	6.78567125e-02	1.50674703e-01	-4.14089954e-02	-1.09265708e-02	4.67778108e-03	-6.89001439e-22	4.67778108e-03	-4.67778108e-03
0.00088         	9.25650607e-02	3.53979700e-02	5.71670906e-02	2.17691206e-01	6.80775653e-02	1.49613640e-01	-4.07680376e-02	-1.08845603e-02	4.62825303e-03	-7.51743788e-22	4.62825303e-03	-4.62825303e-03
0.0009          	9.16193739e-02	3.49655424e-02	5.66538316e-02	2.16882892e-01	6.83068391e-02	1.48576053e-01	-4.01346069e-02	-1.08441446e-02	4.58096870e-03	-8.16045826e-22	4.58096870e-03	-4.58096870e-03
0.00092         	9.07116577e-02	3.45516765e-02	5.61599812e-02	2.16083046e-01	6.85339017e-02	1.47549145e-01	-3.95076215e-02	-1.08041523e-02	4.53558288e-03	-8.85469799e-22	4.53558288e-03	-4.53558288e-03
0.00094         	8.98367374e-02	3.41545072e-02	5.56822302e-02	2.15277231e-01	6.87502715e-02	1.46526959e-01	-3.88883438e-02	-1.07638615e-02	4.49183687e-03	-9.55832620e-22	4.49183687e-03	-4.49183687e-03
0.00096         	8.89908636e-02	3.37721187e-02	5.52187449e-02	2.14466263e-01	6.89536380e-02	1.45512625e-01	-3.82794934e-02	-1.07233131e-02	4.44954318e-03	-1.02826137e-21	4.44954318e-03	-4.44954318e-03
0.00098         	8.81713441e-02	3.34031354e-02	5.47682087e-02	2.13650733e-01	6.91443242e-02	1.44506409e-01	-3.76810425e-02	-1.06825367e-02	4.40856720e-03	-1.10097077e-21	4.40856720e-03	-4.40856720e-03
