# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.60000000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.00042         	2.35586970e-02	3.31169302e-03	2.02470040e-02	1.69353110e-01	4.24148272e-02	1.26938283e-01	-4.22617278e-02	-8.46765550e-03	1.17793485e-03	8.99740897e-22	1.17793485e-03	-1.17793485e-03
0.00044         	2.23188977e-02	2.82190913e-03	1.94969886e-02	1.66750794e-01	4.19332357e-02	1.24817559e-01	-4.14421615e-02	-8.33753972e-03	1.11594489e-03	8.43209649e-22	1.11594489e-03	-1.11594489e-03
0.00046         	2.11322244e-02	2.35730158e-03	1.87749228e-02	1.64176212e-01	4.14944660e-02	1.22681746e-01	-4.05936401e-02	-8.20881060e-03	1.05661122e-03	7.82055573e-22	1.05661122e-03	-1.05661122e-03
0.00048         	1.99981954e-02	1.91755441e-03	1.80806410e-02	1.61630866e-01	4.10992721e-02	1.20531594e-01	-3.97161610e-02	-8.08154331e-03	9.99909772e-04	7.15822609e-22	9.99909772e-04	-9.99909772e-04
0.0005          	1.89136182e-02	1.50086095e-03	1.74127572e-02	1.59118963e-01	4.07498737e-02	1.18369089e-01	-3.88096076e-02	-7.95594813e-03	9.45680908e-04	6.49180063e-22	9.45680908e-04	-9.45680908e-04
0.00052         	1.78711334e-02	1.10123202e-03	1.67699014e-02	1.56686694e-01	4.04721982e-02	1.16214496e-01	-3.78711488e-02	-7.83433470e-03	8.93556672e-04	5.93420618e-22	8.93556672e-04	-8.93556672e-04
0.00054         	1.68766881e-02	7.25629488e-04	1.61510586e-02	1.54254291e-01	4.02178439e-02	1.14036448e-01	-3.69093018e-02	-7.71271457e-03	8.43834406e-04	5.25654686e-22	8.43834406e-04	-8.43834406e-04
0.00056         	1.59211200e-02	3.69211618e-04	1.55519084e-02	1.51826967e-01	3.99965821e-02	1.11830385e-01	-3.59169016e-02	-7.59134837e-03	7.96055999e-04	4.57869362e-22	7.96055999e-04	-7.96055999e-04
0.00058         	1.50085101e-02	3.10737965e-05	1.49774363e-02	1.49463625e-01	3.98146240e-02	1.09649001e-01	-3.49171887e-02	-7.47318127e-03	7.50425507e-04	3.91672189e-22	7.50425507e-04	-7.50425507e-04
0.0006          	1.41336883e-02	-2.89902430e-04	1.44235908e-02	1.47134932e-01	3.96656777e-02	1.07469254e-01	-3.39017883e-02	-7.35674660e-03	7.06684417e-04	3.28097220e-22	7.06684417e-04	-7.06684417e-04
0.00062         	1.32942149e-02	-5.94915982e-04	1.38891309e-02	1.44840469e-01	3.95481930e-02	1.05292275e-01	-3.28720412e-02	-7.24202343e-03	6.64710744e-04	2.65792822e-22	6.64710744e-04	-6.64710744e-04
0.00064         	1.24886136e-02	-8.84644707e-04	1.33732583e-02	1.42579030e-01	3.94593236e-02	1.03119707e-01	-3.18301916e-02	-7.12895152e-03	6.24430681e-04	2.04015442e-22	6.24430681e-04	-6.24430681e-04
0.00066         	1.17146997e-02	-1.15996089e-03	1.28746606e-02	1.40346215e-01	3.93970631e-02	1.00949152e-01	-3.07760443e-02	-7.01731074e-03	5.85734984e-04	1.44140448e-22	5.85734984e-04	-5.85734984e-04
