# y+ ()         
# Time          	patch           	min             	max             	average         
0               	upperSurface	4.31707137e+01	5.00738920e+01	4.77659869e+01
0               	lowerSurface	4.31707137e+01	5.00738920e+01	4.77659869e+01
0.01            	upperSurface	1.05299331e+01	3.88604618e+01	2.72698651e+01
0.01            	lowerSurface	3.54844877e+00	3.30227942e+01	2.85921202e+01
0.02            	upperSurface	4.67932277e+00	4.01394233e+01	2.50435060e+01
0.02            	lowerSurface	3.37873631e+00	3.33559850e+01	2.76219088e+01
0.03            	upperSurface	6.77108912e+00	4.06831888e+01	2.50885312e+01
0.03            	lowerSurface	4.10742608e+00	3.32296803e+01	2.80223871e+01
0.04            	upperSurface	7.68376195e+00	4.09015838e+01	2.47703254e+01
0.04            	lowerSurface	3.50776368e+00	3.32515734e+01	2.81407803e+01
0.05            	upperSurface	8.05160429e+00	4.11266231e+01	2.41690059e+01
0.05            	lowerSurface	3.21530697e+00	3.33857661e+01	2.86068872e+01
0.06            	upperSurface	4.39539648e-01	4.17072437e+01	2.33696330e+01
0.06            	lowerSurface	3.85535159e+00	3.24162927e+01	2.85675905e+01
0.07            	upperSurface	7.49618671e-01	4.20359186e+01	2.27447337e+01
0.07            	lowerSurface	3.52286340e+00	3.21624030e+01	2.83755492e+01
0.08            	upperSurface	1.24130244e+00	4.21206518e+01	2.26080240e+01
0.08            	lowerSurface	4.01714661e+00	3.20411928e+01	2.84439438e+01
0.09            	upperSurface	1.00140775e+00	4.22885434e+01	2.25074390e+01
0.09            	lowerSurface	3.11322125e+00	3.18298057e+01	2.83977535e+01
0.1             	upperSurface	8.62102830e-01	4.24185525e+01	2.22282911e+01
0.1             	lowerSurface	3.32862751e+00	3.16767477e+01	2.83837425e+01
0.11            	upperSurface	8.92322195e-01	4.25143598e+01	2.20229516e+01
0.11            	lowerSurface	4.03172697e+00	3.15437939e+01	2.83448331e+01
0.12            	upperSurface	9.51820211e-01	4.25555249e+01	2.17976210e+01
0.12            	lowerSurface	3.80863646e+00	3.15107607e+01	2.83427053e+01
0.13            	upperSurface	1.23381294e+00	4.25967093e+01	2.17377569e+01
0.13            	lowerSurface	3.45405194e+00	3.14503958e+01	2.83489877e+01
0.14            	upperSurface	1.23820405e+00	4.26503298e+01	2.15827963e+01
0.14            	lowerSurface	3.17182452e+00	3.14001046e+01	2.83463239e+01
0.15            	upperSurface	8.79351051e-01	4.27010896e+01	2.14335786e+01
0.15            	lowerSurface	3.02881241e+00	3.13662305e+01	2.83486066e+01
0.16            	upperSurface	1.31457687e+00	4.27450808e+01	2.13358493e+01
0.16            	lowerSurface	3.00128603e+00	3.13646775e+01	2.83619470e+01
0.17            	upperSurface	1.26340901e+00	4.27797568e+01	2.12117173e+01
0.17            	lowerSurface	3.00499430e+00	3.13551677e+01	2.83889680e+01
0.18            	upperSurface	9.29668533e-01	4.28053996e+01	2.11703613e+01
0.18            	lowerSurface	3.05024445e+00	3.13303134e+01	2.83855510e+01
0.19            	upperSurface	1.07711059e+00	4.28219114e+01	2.10926428e+01
0.19            	lowerSurface	3.06832088e+00	3.13302954e+01	2.83876377e+01
0.2             	upperSurface	8.58540997e-01	4.28292955e+01	2.10430185e+01
0.2             	lowerSurface	3.04557344e+00	3.13485761e+01	2.83900731e+01
0.21            	upperSurface	1.30572888e+00	4.28176317e+01	2.10183970e+01
0.21            	lowerSurface	3.00162813e+00	3.13877271e+01	2.83918119e+01
0.22            	upperSurface	9.44280370e-01	4.27700083e+01	2.10291567e+01
0.22            	lowerSurface	3.03592834e+00	3.14161499e+01	2.83820114e+01
0.23            	upperSurface	1.02909901e+00	4.27224008e+01	2.10961987e+01
0.23            	lowerSurface	3.10190823e+00	3.14244848e+01	2.83732359e+01
0.24            	upperSurface	7.96283574e-01	4.26962958e+01	2.10839782e+01
0.24            	lowerSurface	3.08818239e+00	3.14056965e+01	2.83684297e+01
0.25            	upperSurface	7.97716788e-01	4.27065453e+01	2.10824577e+01
0.25            	lowerSurface	3.01830205e+00	3.13709687e+01	2.83696659e+01
