# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.22360000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2e-05           	1.72858395e-01	7.12487844e-02	1.01609610e-01	3.03608259e-01	6.85789893e-02	2.35029269e-01	-8.32251400e-02	-1.51804129e-02	8.64291973e-03	3.10580270e-22	8.64291973e-03	-8.64291973e-03
4e-05           	2.12243674e-01	9.13936811e-02	1.20849993e-01	2.94563119e-01	7.56077117e-02	2.18955407e-01	-7.16738478e-02	-1.47281560e-02	1.06121837e-02	3.99624707e-22	1.06121837e-02	-1.06121837e-02
6e-05           	2.14357500e-01	9.32659119e-02	1.21091588e-01	2.78256758e-01	7.60163882e-02	2.02240369e-01	-6.31119906e-02	-1.39128379e-02	1.07178750e-02	3.89428024e-22	1.07178750e-02	-1.07178750e-02
8e-05           	2.10575971e-01	9.17019751e-02	1.18873995e-01	2.71720204e-01	7.49539096e-02	1.96766294e-01	-6.09061924e-02	-1.35860102e-02	1.05287985e-02	3.81303512e-22	1.05287985e-02	-1.05287985e-02
0.0001          	2.07428980e-01	9.01305741e-02	1.17298406e-01	2.71678317e-01	7.44217580e-02	1.97256559e-01	-6.14174003e-02	-1.35839158e-02	1.03714490e-02	3.73348477e-22	1.03714490e-02	-1.03714490e-02
0.00012         	2.05867083e-01	8.93726677e-02	1.16494415e-01	2.71217472e-01	7.42885647e-02	1.96928907e-01	-6.13201714e-02	-1.35608736e-02	1.02933541e-02	3.76212161e-22	1.02933541e-02	-1.02933541e-02
0.00014         	2.05019765e-01	8.89600698e-02	1.16059695e-01	2.70996249e-01	7.42949224e-02	1.96701327e-01	-6.12032022e-02	-1.35498125e-02	1.02509882e-02	3.81434610e-22	1.02509882e-02	-1.02509882e-02
0.00016         	2.04141817e-01	8.85376658e-02	1.15604151e-01	2.70664853e-01	7.42575943e-02	1.96407258e-01	-6.10748321e-02	-1.35332426e-02	1.02070908e-02	3.87956156e-22	1.02070908e-02	-1.02070908e-02
0.00018         	2.03151036e-01	8.80568521e-02	1.15094183e-01	2.70373313e-01	7.42031581e-02	1.96170155e-01	-6.09834986e-02	-1.35186657e-02	1.01575518e-02	3.94518211e-22	1.01575518e-02	-1.01575518e-02
0.0002          	2.02116365e-01	8.75531437e-02	1.14563222e-01	2.70100779e-01	7.41704072e-02	1.95930372e-01	-6.08799825e-02	-1.35050390e-02	1.01058183e-02	4.00475390e-22	1.01058183e-02	-1.01058183e-02
0.00022         	2.01064947e-01	8.70392214e-02	1.14025725e-01	2.69865037e-01	7.41586986e-02	1.95706339e-01	-6.07738201e-02	-1.34932519e-02	1.00532473e-02	4.06679564e-22	1.00532473e-02	-1.00532473e-02
0.00024         	1.99982209e-01	8.65100346e-02	1.13472175e-01	2.69621402e-01	7.41460634e-02	1.95475338e-01	-6.06646374e-02	-1.34810701e-02	9.99911047e-03	4.11498003e-22	9.99911047e-03	-9.99911047e-03
