# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
2e-05           	DILUPBiCGStab	1.00000000e+00	7.59181700e-03	1	1.00000000e+00	9.44305520e-02	2	1.00000000e+00	9.56367300e-08	1	false	DILUPBiCGStab	9.99999990e-01	2.92561100e-07	2	true	GAMG	1.00000000e+00	8.81945370e-09	27	true	DILUPBiCGStab	9.99999940e-01	6.88458720e-05	1	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
4e-05           	DILUPBiCGStab	9.59194770e-01	2.02514650e-02	1	9.94555770e-01	1.34686260e-02	1	9.78578790e-01	1.26214170e-02	1	false	DILUPBiCGStab	4.93855860e-01	2.94886070e-08	1	true	GAMG	9.20807090e-01	9.82204130e-05	1000	false	DILUPBiCGStab	1.00000000e+00	1.52687020e-02	3	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
6e-05           	DILUPBiCGStab	9.99969380e-01	1.14774720e-02	1	9.99969470e-01	1.05569900e-02	1	9.99970130e-01	3.32409820e-02	2	false	DILUPBiCGStab	3.46347200e-01	2.02312870e-11	1	true	GAMG	1.00000000e+00	2.47482290e-07	1000	false	DILUPBiCGStab	1.00000000e+00	2.42112390e-03	10	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
