# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.22360000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2e-05           	7.29453732e-02	2.89267721e-02	4.40186011e-02	1.50918290e-01	3.61884660e-02	1.14729824e-01	-3.92706792e-02	-7.54591451e-03	3.64726866e-03	9.39687199e-22	3.64726866e-03	-3.64726866e-03
4e-05           	1.19709963e-01	4.76851552e-02	7.20248079e-02	2.43396526e-01	5.97301352e-02	1.83666391e-01	-6.19681280e-02	-1.21698263e-02	5.98549816e-03	1.61807827e-21	5.98549816e-03	-5.98549816e-03
6e-05           	1.51826447e-01	6.12116294e-02	9.06148174e-02	2.94031879e-01	7.37884440e-02	2.20243435e-01	-7.32274957e-02	-1.47015940e-02	7.59132234e-03	2.00979687e-21	7.59132234e-03	-7.59132234e-03
8e-05           	1.72024453e-01	7.01629948e-02	1.01861459e-01	3.16984638e-01	8.06884403e-02	2.36296197e-01	-7.78038785e-02	-1.58492319e-02	8.60122267e-03	2.25031401e-21	8.60122267e-03	-8.60122267e-03
0.0001          	1.86372775e-01	7.72522950e-02	1.09120480e-01	3.18681847e-01	8.25609643e-02	2.36120883e-01	-7.67799592e-02	-1.59340924e-02	9.31863874e-03	2.35537884e-21	9.31863874e-03	-9.31863874e-03
0.00012         	1.88926132e-01	7.91797369e-02	1.09746395e-01	3.05666585e-01	8.09824572e-02	2.24684128e-01	-7.18508352e-02	-1.52833292e-02	9.44630661e-03	2.34321854e-21	9.44630661e-03	-9.44630661e-03
0.00014         	1.86879729e-01	7.91402211e-02	1.07739508e-01	2.85992870e-01	7.75412498e-02	2.08451621e-01	-6.54551854e-02	-1.42996435e-02	9.34398646e-03	2.25483028e-21	9.34398646e-03	-9.34398646e-03
0.00016         	1.84332794e-01	7.86835089e-02	1.05649285e-01	2.69657762e-01	7.43384844e-02	1.95319277e-01	-6.04903964e-02	-1.34828881e-02	9.21663970e-03	2.20947387e-21	9.21663970e-03	-9.21663970e-03
0.00018         	1.79695651e-01	7.69319930e-02	1.02763658e-01	2.58316654e-01	7.11132461e-02	1.87203408e-01	-5.80450809e-02	-1.29158327e-02	8.98478257e-03	2.18297324e-21	8.98478257e-03	-8.98478257e-03
0.0002          	1.79699428e-01	7.69335413e-02	1.02765887e-01	2.58323453e-01	7.11132782e-02	1.87210175e-01	-5.80484485e-02	-1.29161727e-02	8.98497140e-03	2.18314167e-21	8.98497140e-03	-8.98497140e-03
