# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.22360000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.00042         	1.63596210e-01	6.87960466e-02	9.48001630e-02	2.60041163e-01	7.17242312e-02	1.88316932e-01	-5.82963505e-02	-1.30020582e-02	8.17981048e-03	3.07025368e-21	8.17981048e-03	-8.17981048e-03
0.00044         	1.60800615e-01	6.74337238e-02	9.33668909e-02	2.59331671e-01	7.15416561e-02	1.87790015e-01	-5.81241794e-02	-1.29665836e-02	8.04003074e-03	3.04833717e-21	8.04003074e-03	-8.04003074e-03
0.00046         	1.58209730e-01	6.61762453e-02	9.20334848e-02	2.58572395e-01	7.13505932e-02	1.87221802e-01	-5.79356045e-02	-1.29286198e-02	7.91048650e-03	3.02794713e-21	7.91048650e-03	-7.91048650e-03
0.00048         	1.55814732e-01	6.50195575e-02	9.07951741e-02	2.57756166e-01	7.11496649e-02	1.86606501e-01	-5.77284181e-02	-1.28878083e-02	7.79073658e-03	3.00602521e-21	7.79073658e-03	-7.79073658e-03
0.0005          	1.53548734e-01	6.39294942e-02	8.96192399e-02	2.56897457e-01	7.09423242e-02	1.85955133e-01	-5.75064045e-02	-1.28448729e-02	7.67743670e-03	2.98494748e-21	7.67743670e-03	-7.67743670e-03
0.00052         	1.51352307e-01	6.28749535e-02	8.84773538e-02	2.56024002e-01	7.07351433e-02	1.85288859e-01	-5.72768578e-02	-1.28012001e-02	7.56761537e-03	2.96446588e-21	7.56761537e-03	-7.56761537e-03
0.00054         	1.49208136e-01	6.18437359e-02	8.73643997e-02	2.55206637e-01	7.05335712e-02	1.84673066e-01	-5.70697476e-02	-1.27603319e-02	7.46040678e-03	2.94523144e-21	7.46040678e-03	-7.46040678e-03
0.00056         	1.47139337e-01	6.08521345e-02	8.62872022e-02	2.54350677e-01	7.03530872e-02	1.83997590e-01	-5.68222515e-02	-1.27175339e-02	7.35696683e-03	2.92619397e-21	7.35696683e-03	-7.35696683e-03
0.00058         	1.45125622e-01	5.98844162e-02	8.52412054e-02	2.53567893e-01	7.01789263e-02	1.83388966e-01	-5.66050200e-02	-1.26783946e-02	7.25628108e-03	2.90937066e-21	7.25628108e-03	-7.25628108e-03
0.0006          	1.43196913e-01	5.89574512e-02	8.42394617e-02	2.52820105e-01	7.00233621e-02	1.82796743e-01	-5.63866903e-02	-1.26410052e-02	7.15984564e-03	2.89321163e-21	7.15984564e-03	-7.15984564e-03
