# y+ ()         
# Time          	patch           	min             	max             	average         
0               	upperSurface	7.59419027e+01	8.48267620e+01	8.20363663e+01
0               	lowerSurface	7.59419027e+01	8.48267620e+01	8.20363663e+01
0.01            	upperSurface	1.56538494e+01	7.38224795e+01	5.03769224e+01
0.01            	lowerSurface	6.98032973e+00	6.42312673e+01	5.44846099e+01
0.02            	upperSurface	1.63455004e+01	7.46408283e+01	4.79164093e+01
0.02            	lowerSurface	7.95427629e+00	6.39112422e+01	5.41542280e+01
0.03            	upperSurface	8.54839950e+00	7.52807462e+01	4.56929635e+01
0.03            	lowerSurface	7.70796378e+00	6.37213549e+01	5.50547266e+01
0.04            	upperSurface	2.40719794e+00	7.65957718e+01	4.41692970e+01
0.04            	lowerSurface	7.54569884e+00	6.23754869e+01	5.46894677e+01
0.05            	upperSurface	1.12301195e+00	7.71855534e+01	4.39407216e+01
0.05            	lowerSurface	6.61462404e+00	6.19611937e+01	5.46721530e+01
0.06            	upperSurface	1.35125188e+00	7.75205757e+01	4.33754984e+01
0.06            	lowerSurface	7.35903785e+00	6.16916572e+01	5.46350746e+01
0.07            	upperSurface	2.07574941e+00	7.77108932e+01	4.27823152e+01
0.07            	lowerSurface	8.11887085e+00	6.15279518e+01	5.46214522e+01
0.08            	upperSurface	2.36850116e+00	7.78469486e+01	4.20930069e+01
0.08            	lowerSurface	8.31466716e+00	6.13968663e+01	5.46158617e+01
0.09            	upperSurface	2.56959660e+00	7.79664780e+01	4.14859789e+01
0.09            	lowerSurface	7.77108304e+00	6.12992766e+01	5.46234259e+01
0.1             	upperSurface	2.38251266e+00	7.80371634e+01	4.11122725e+01
0.1             	lowerSurface	7.39711948e+00	6.12210010e+01	5.46138160e+01
0.11            	upperSurface	1.78401985e+00	7.80943751e+01	4.09324372e+01
0.11            	lowerSurface	7.16984006e+00	6.11710032e+01	5.46034465e+01
0.12            	upperSurface	1.86680158e+00	7.81350160e+01	4.07747913e+01
0.12            	lowerSurface	7.01790877e+00	6.11370693e+01	5.46006730e+01
0.13            	upperSurface	2.03260798e+00	7.81687958e+01	4.06476436e+01
0.13            	lowerSurface	6.89976462e+00	6.11086153e+01	5.46066203e+01
0.14            	upperSurface	2.15217347e+00	7.81939844e+01	4.05288120e+01
0.14            	lowerSurface	6.81363261e+00	6.10827414e+01	5.46070525e+01
0.15            	upperSurface	2.08399482e+00	7.82094983e+01	4.03884607e+01
0.15            	lowerSurface	6.75930912e+00	6.10665985e+01	5.46100383e+01
0.16            	upperSurface	1.60201622e+00	7.82201009e+01	4.03057414e+01
0.16            	lowerSurface	6.71955967e+00	6.10535736e+01	5.46102778e+01
0.17            	upperSurface	2.25645573e+00	7.82269548e+01	4.02375294e+01
0.17            	lowerSurface	6.69131749e+00	6.10431127e+01	5.46100069e+01
0.18            	upperSurface	2.38406117e+00	7.82335833e+01	4.01939473e+01
0.18            	lowerSurface	6.66720054e+00	6.10335469e+01	5.46108010e+01
0.19            	upperSurface	2.08387073e+00	7.82460788e+01	4.02100645e+01
0.19            	lowerSurface	6.64442359e+00	6.10271571e+01	5.46115307e+01
0.2             	upperSurface	1.67808081e+00	7.82503206e+01	4.02559296e+01
0.2             	lowerSurface	6.62961555e+00	6.10219407e+01	5.46113259e+01
0.21            	upperSurface	1.55984671e+00	7.82461780e+01	4.02849657e+01
0.21            	lowerSurface	6.62404632e+00	6.10155012e+01	5.46063822e+01
0.22            	upperSurface	1.70053199e+00	7.82577925e+01	4.02987140e+01
0.22            	lowerSurface	6.61687501e+00	6.10183088e+01	5.46080619e+01
0.23            	upperSurface	1.89874804e+00	7.82548641e+01	4.02677130e+01
0.23            	lowerSurface	6.60004713e+00	6.10070212e+01	5.46072659e+01
0.24            	upperSurface	2.57162437e+00	7.82661805e+01	4.02398068e+01
0.24            	lowerSurface	6.59594181e+00	6.10106006e+01	5.46091065e+01
0.25            	upperSurface	1.93450028e+00	7.82716395e+01	4.01490099e+01
0.25            	lowerSurface	6.58241606e+00	6.10067577e+01	5.46149673e+01
